2018/11/02;40.00;7808907654
2018/11/05;73.85;7801234567
2018/11/10;21.36;7807890123
2018/11/15;3.20;7807890123
2018/11/15;34.97;7804922860
2018/11/15;10.51;7809876543
2018/11/15;569.40;7801234567
2018/11/18;45.95;7804922860
2018/11/21;108.20;7804922860
2018/11/26;8.20;7803214567
2018/11/27;58.15;7809876543
2018/11/28;258.29;7801236789
2018/11/30;365.95;7801236789
2018/11/30;76.43;7801234567
2018/11/30;12.75;7804321098
2018/11/30;73.65;7801236789
2018/11/30;111.4;7807890123
2018/11/30;120.5;7808765432
2018/11/30;436.80;7804321098
